actor_id,name,birth,agency,sns,image,work1,work2,work3,work4,work5
1,김승용,,,,actor_images\21118.gif," 〈레드북〉 - 부산
2026.01.30 ~ 2026.02.01
드림씨어터
헨리&잭 역"," 〈레드북〉 - 세종시
2026.01.23 ~ 2026.01.25
세종예술의전당(세종특별자치시)
헨리&잭 역"," 〈레드북〉 - 용인
2026.01.09 ~ 2026.01.11
용인포은아트홀
헨리&잭 역"," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
이태준 역"," 〈레드북〉
2025.09.23 ~ 2025.12.07
유니버설아트센터
헨리 & 잭 역"
2,원태민,1993.09.16,,https://www.instagram.com/one__tm_/,actor_images\54013.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
정세훈 역"," 〈라흐마니노프〉
2025.09.20 ~ 2025.12.14
예스24스테이지 1관
라흐마니노프 역"," 〈두 낫 디스터브〉
2025.06.10 ~ 2025.08.31
NOL 서경스퀘어 스콘 1관
카이만 역","화이트래빗 레드래빗(WHITE RABBIT RED RABBIT)
2025.04.30 ~ 2025.05.25
세종문화회관 S씨어터
배우 역","애나엑스(ANNA X) Special Day
2025.02.18 ~ 2025.02.20
LG아트센터 서울 U+ 스테이지
아리엘 역"
3,문성일,1988.08.14,,http://www.instagram.com/m_seong_il,actor_images\25614.gif," 〈판〉
2025.12.23 ~ 2026.03.08
동덕여대 공연예술센터 코튼홀
달수 역"," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
정세훈 역","여신님이 보고 계셔
2024.11.26 ~ 2025.03.03
NOL 유니플렉스 1관
변주화 역","오즈
2024.02.27 ~ 2024.04.28
대학로 TOM(티오엠) 2관
준 역","이카이노 바이크
2024.02.15 ~ 2024.03.10
씨어터 쿰
경우 역"
4,신윤재,1995.07.19,,,actor_images\51504.gif,"다큐시어터 〈집으로 돌아가는 길: 형제복지원의 기억〉
2025.07.31 ~ 2025.08.08
연우 소극장(대학로)","플레이위드 햄릿
2025.01.23 ~ 2025.03.16
산울림 소극장
햄릿_화이트/핑크 역","버려진 상자엔 무엇이 담겨있었나
2023.11.15 ~ 2023.11.19
해당공연 공연장
노숙자 역","플레이위드 햄릿
2023.06.23 ~ 2023.07.09
산울림 소극장
화이트/핑크 역","마하
2023.04.07 ~ 2023.04.09
열린극장
마하 역"
5,이형훈,,,,actor_images\15321.gif," 〈긴긴밤〉
2026.01.21 ~ 2026.03.29
링크아트센터드림 드림1관
노든 역"," 〈시지프스〉
2025.12.16 ~ 2026.03.08
예스24스테이지 2관
언노운 역"," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
이윤 역","［슈가데이#1］  〈아몬드〉
2025.11.15 ~ 2025.11.16
NOL 유니플렉스 1관
심박사(심재영) 역"," 〈아몬드〉
2025.09.19 ~ 2025.12.14
NOL 유니플렉스 1관
심박사(심재영) 역"
6,김지욱,1989.01.27,,http://www.instagram.com/rlawldnrl | http://cafe.daum.net/nalbangsongjiwook,actor_images\36037.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
이태준 역","［놀라운 특가］ 연극 〈아마데우스〉 비지정석
2025.09.24 ~ 2025.11.23
홍익대 대학로 아트센터 대극장
요제프 황제 역","연극 〈아마데우스〉
2025.09.16 ~ 2025.11.23
홍익대 대학로 아트센터 대극장
요제프 황제 역"," 〈마리 퀴리〉
2025.07.25 ~ 2025.10.19
광림아트센터 BBCH홀
마르친/샤갈 역","레베카
2021.11.16 ~ 2022.02.28
충무아트센터 대극장
벤 역"
7,김종구,1980.11.29,,http://www.hunusent.com/artist_15.asp | http://twitter.com/jonggoooo,actor_images\17507.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
김해진 역"," 〈로빈〉
2025.12.01 ~ 2026.03.01
대학로 TOM(티오엠) 1관
로빈 역","니진스키
2025.03.25 ~ 2025.06.15
예스24아트원 1관
디아길레프 역","라흐 헤스트
2025.03.25 ~ 2025.06.15
예스24스테이지 1관
환기 역","라파치니의 정원
2025.02.26 ~ 2025.02.28
플러스씨어터
라파치니 역"
8,윤은채,1986.12.14,,http://www.instagram.com/ecactor | http://www.facebook.com/eunchae.yoon,actor_images\39735.gif,"은밀하게 위대하게
2017.07.14 ~ 2017.10.05
대학로 드림아트센터 1관
원류환 역","챠이카
2016.01.08 ~ 2016.06.26
안똔체홉극장
메드베젠꼬 역","레베카
2016.01.05 ~ 2016.03.06
예술의전당 오페라극장
앙상블
전문가","맨 오브 라만차
2015.07.30 ~ 2015.11.01
디큐브 링크아트센터
후안 역
관객 전문가","드림걸즈
2015.02.26 ~ 2015.05.25
샤롯데씨어터
앙상블
전문가"
9,에녹 ,1980.02.10,EMK엔터테인먼트,http://www.instagram.com/official__enoch | http://cafe.naver.com/actorenoch,actor_images\6961.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
김해진 역","마타하리
2024.12.05 ~ 2025.03.02
LG아트센터 서울 LG SIGNATURE 홀
아르망 역","손태진 ＆ 에녹 콘서트 - 대구
2024.07.13 ~ 2024.07.13
대구 엑스코(EXCO)","레베카
2023.08.19 ~ 2023.11.19
블루스퀘어 신한카드홀
막심 드 윈터 역","이프덴
2022.12.08 ~ 2023.02.26
홍익대 대학로 아트센터 대극장
루카스 역"
10,강혜인,,,,actor_images\43688.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
히카루 역"," 〈마리 퀴리〉
2025.07.25 ~ 2025.10.19
광림아트센터 BBCH홀
안느 코발스카 역","너의 결혼식
2025.03.20 ~ 2025.06.08
NOL 유니플렉스 1관
환승희 역","천 개의 파랑
2025.02.22 ~ 2025.03.07
국립극장 해오름극장
은혜 역","유진과 유진
2024.07.06 ~ 2024.09.22
링크아트센터드림 드림4관
작은유진 역"
11,윤소호,1991.11.20,,http://cafe.naver.com/19911120,actor_images\27064.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
정세훈 역","［슈가데이#1］  〈아몬드〉
2025.11.15 ~ 2025.11.16
NOL 유니플렉스 1관
윤재(선윤재) 역"," 〈아몬드〉
2025.09.19 ~ 2025.12.14
NOL 유니플렉스 1관
윤재(선윤재) 역","오늘 밤, 세계에서 이 사랑이 사라진다 해도
2025.06.13 ~ 2025.08.24
코엑스아티움
가미야 도루 역","도리안 그레이
2025.03.30 ~ 2025.06.08
홍익대 대학로 아트센터 대극장
도리안 그레이 역"
12,김경수,1982.09.06,,https://www.instagram.com/k.kyoungsu,actor_images\6299.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
김해진 역","도리안 그레이
2025.03.30 ~ 2025.06.08
홍익대 대학로 아트센터 대극장
헨리 워튼 역","스타크로스드
2024.12.10 ~ 2025.03.02
예스24스테이지 3관
머큐쇼 역","랭보
2024.09.17 ~ 2024.12.08
예스24스테이지 1관
베를렌느 역","빈센트 반 고흐
2024.09.07 ~ 2024.12.01
NOL 서경스퀘어 스콘 1관
빈센트 반 고흐 역"
13,정민,,,,actor_images\6959.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
이윤 역"," 〈라흐마니노프〉
2025.09.20 ~ 2025.12.14
예스24스테이지 1관
니콜라이 달 역","［피크닉#15］ 〈붉은 정원〉
2025.06.17 ~ 2025.06.19
링크아트센터드림 드림2관
빅토르 역","붉은 정원
2025.04.22 ~ 2025.07.20
링크아트센터드림 드림2관
빅토르 역","배니싱
2025.02.04 ~ 2025.05.25
링크아트센터 페이코홀
의신 역"
14,이승현,1977.10.11,,http://www.instagram.com/lownotegogo | http://cafe.daum.net/actor777 | https://www.youtube.com/@SHankyouCONCERT,actor_images\3714.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
김수남 역"," 배우 이승현 콘서트
2024.11.11 ~ 2024.11.11
서강대학교 메리홀 대극장","미오 프라텔로
2024.05.21 ~ 2024.10.27
링크아트센터 벅스홀
치치 역","6시 퇴근
2024.05.17 ~ 2024.08.11
대학로 SH 아트홀
장보고 역","비더슈탄트
2023.09.12 ~ 2023.11.26
대학로 드림아트센터 1관
라인하르트 클레어 역"
15,윤석화,1956.01.16,,,actor_images\5843.gif,"햄릿
2022.07.13 ~ 2022.08.13
국립극장 해오름극장
배우3 역","자화상
2021.10.20 ~ 2021.11.21
산울림 소극장","해롤드와 모드
2021.05.01 ~ 2021.05.23
KT&G 상상마당 대치아트홀
연출","딸에게 보내는 편지
2019.06.11 ~ 2019.06.22
대학로 설치극장 정미소","윤석화의 사랑은 계속됩니다
2017.06.13 ~ 2017.06.18
대학로 설치극장 정미소"
16,장민수,1988.11.04,,,actor_images\37147.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
김수남 역","어른이  〈난쟁이들〉
2025.11.05 ~ 2026.03.01
플러스씨어터
빅 역"," 〈쇼맨_어느 독재자의 네 번째 대역배우〉
2025.07.11 ~ 2025.08.31
국립정동극장
첫번째 배우 역"," 〈다시, 동물원〉
2025.06.26 ~ 2025.09.14
동덕여대 공연예술센터 코튼홀
유준열 역","미아 파밀리아
2024.12.19 ~ 2025.03.23
링크아트센터드림 드림1관
오스카 역"
17,소정화,,,,actor_images\12219.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
히카루 역","문스토리
2023.09.26 ~ 2023.12.10
대학로 드림아트센터 4관
린 역","쁠라테로
2023.05.18 ~ 2023.06.02
국립정동극장 세실","팬레터
2022.07.04 ~ 2022.07.04
온라인
히카루 역","난세
2022.05.31 ~ 2022.08.21
NOL 서경스퀘어 스콘 2관
꾼 역"
18,박정표,1980.05.08,,,actor_images\8529.gif," 〈팬레터〉 10주년 기념 공연
2025.12.05 ~ 2026.02.22
예술의전당 CJ 토월극장
이윤 역","그날들 - 안성
2023.10.06 ~ 2023.10.07
안성맞춤아트홀 대공연장
상구 역","그날들
2023.07.12 ~ 2023.09.03
예술의전당 오페라극장
상구 역","팬레터
2021.12.10 ~ 2022.03.20
코엑스아티움
이 윤 역","팬레터 - 성남
2021.03.26 ~ 2021.03.28
성남아트센터 오페라하우스
이윤 역"
