cast_id,musical_id,actor_id,role_name
1,1,9,김해진 역
2,1,7,김해진 역
3,1,12,김해진 역
4,1,3,정세훈 역
5,1,11,정세훈 역
6,1,21,정세훈 역
7,1,2,정세훈 역
8,1,17,히카루 역
9,1,10,히카루 역
10,1,18,이윤 역
11,1,13,이윤 역
12,1,5,이윤 역
13,1,20,이윤 역
14,1,1,이태준 역
15,1,307,이태준 역
16,1,14,김수남 역
17,1,22,김수남 역
18,1,16,김수남 역
19,1,19,김수남 역
20,2,262,파이 역
21,2,39,파이 역
22,2,32,파이 역
23,2,29,아버지 역
24,2,33,아버지 역
25,2,26,엄마/간호사/오렌지주스 역
26,2,24,엄마/간호사/오렌지주스 역
27,2,27,오카모토/선장 역
28,2,31,오카모토/선장 역
29,2,25,루루 첸 역
30,2,30,루루 첸 역
31,2,37,요리사/리차드 파커 목소리 역
32,2,23,요리사/리차드 파커 목소리 역
33,4,56,크리스티안 역
34,4,43,크리스티안 역
35,4,41,크리스티안 역
36,4,49,사틴 역
37,4,44,사틴 역
38,4,55,지들러 역
39,4,57,몬로스 공작 역
40,4,51,몬로스 공작 역
41,4,52,로트렉 역
42,4,53,로트렉 역
43,4,58,산티아고 역
44,4,46,산티아고 역
45,7,83,라이토 역
46,7,84,라이토 역
47,7,82,라이토 역
48,7,74,라이토 역
49,7,77,엘(L) 역
50,7,79,엘(L) 역
51,7,73,엘(L) 역
52,7,72,엘(L) 역
53,7,76,렘 역
54,7,80,렘 역
55,7,78,류크 역
56,7,75,류크 역
57,7,81,미사 역
58,7,85,미사 역
59,8,93,로저 역
60,8,90,미미 역
61,8,97,미미 역
62,8,96,마크 역
63,8,94,마크 역
64,8,95,콜린 역
65,8,100,콜린 역
66,8,91,엔젤 역
67,8,92,엔젤 역
68,8,98,모린 역
69,8,86,모린 역
70,9,103,슈가 역
71,9,104,슈가 역
72,9,108,슈가 역
73,9,105,조/죠세핀 역
74,9,101,조/죠세핀 역
75,9,106,조/죠세핀 역
76,9,111,조/죠세핀 역
77,9,109,제리/다프네 역
78,9,110,제리/다프네 역
79,9,102,오스굿 역
80,9,107,오스굿 역
81,12,143,찰리 역
82,12,127,찰리 역
83,12,133,찰리 역
84,12,134,빅 역
85,12,142,빅 역
86,12,16,빅 역
87,12,140,인어공주 역
88,12,128,인어공주 역
89,12,139,백설공주 역
90,12,138,백설공주 역
91,12,131,왕자1 역
92,12,129,왕자1 역
93,12,141,왕자1 역
94,12,132,왕자2/신데렐라 역
95,12,135,왕자2/신데렐라 역
96,12,137,왕자2/신데렐라 역
97,13,145,비틀쥬스 역
98,13,151,비틀쥬스 역
99,13,146,비틀쥬스 역
100,13,153,리디아 역
101,13,147,리디아 역
102,13,144,바바라 역
103,13,148,바바라 역
104,13,149,아담 역
105,13,150,찰스 역
106,13,154,델리아 역
107,13,152,델리아 역
108,14,83,클라이드 역
109,14,161,클라이드 역
110,14,163,클라이드 역
111,14,158,보니 역
112,14,156,보니 역
113,14,162,벅 역
114,14,164,벅 역
115,14,155,블랜치 역
116,14,160,블랜치 역
117,14,157,테드 역
118,14,159,목사 역
119,15,166,마이클 콜린스 역
120,15,167,마이클 콜린스 역
121,15,168,마이클 콜린스 역
122,15,165,마이클 콜린스 역
123,17,170,윌러비 역
124,17,179,윌러비 역
125,17,171,윌러비 역
126,17,177,앤 역
127,17,178,앤 역
128,17,175,앤 역
129,20,5,언노운 역
130,20,187,언노운 역
131,20,189,언노운 역
132,20,182,언노운 역
133,20,183,포엣 역
134,20,185,클라운 역
135,20,184,클라운 역
136,20,181,클라운 역
137,20,186,아스트로 역
138,20,188,아스트로 역
139,21,190,보스-막걸리 역
140,21,201,바텐더 역
141,21,197,바텐더 역
142,21,198,바텐더 역
143,21,195,바텐더 역
144,22,210,앤1 역
145,22,209,앤1 역
146,22,219,앤1 역
147,22,211,앤2 역
148,22,218,앤2 역
149,22,206,앤2 역
150,22,216,앤3 역
151,22,210,앤3 역
152,22,218,앤3 역
153,22,205,매슈 역
154,22,215,매슈 역
155,22,221,마릴라 역
156,22,220,마릴라 역
157,22,207,마릴라 역
158,22,213,린드 역
159,22,214,린드 역
160,23,222,나탈리 역
161,24,225,마이클 역
162,24,224,마이클 역
163,24,226,마이클 역
164,24,170,데이 역
165,24,227,데이 역
166,24,223,데이 역
167,26,236,영주 역
168,26,237,영주 역
169,26,231,영주 역
170,26,243,민준 역
171,26,234,민준 역
172,26,228,민준 역
173,26,238,민준 역
174,26,240,승우 역
175,26,233,승우 역
176,26,241,승우 역
177,26,239,승우 역
178,26,235,희주 역
179,26,242,희주 역
180,26,207,희주 역
181,26,232,정서 역
182,26,229,정서 역
183,26,230,정서 역
184,27,254,임선우 역
185,27,251,임선우 역
186,27,252,구해진 역
187,27,247,구해진 역
188,27,253,구해진 역
189,27,249,나여라 역
190,27,246,나여라 역
191,27,244,나여라 역
192,27,248,나여라 역
193,27,245,나지원 역
194,27,250,나지원 역
195,28,7,로빈 역
196,29,164,조슬린 역
197,29,187,조슬린 역
198,32,273,이우빈 역
199,32,274,이우빈 역
200,32,276,이우빈 역
201,32,275,구본하 역
202,32,277,구본하 역
203,32,279,구본하 역
204,32,278,구본하 역
205,33,280,샘 역
206,33,284,샘 역
207,33,294,샘 역
208,33,289,찰리 역
209,33,283,찰리 역
210,33,288,찰리 역
211,33,281,산타 역
212,33,290,산타 역
213,33,291,루돌프 역
214,33,285,엄마 역
215,33,295,아빠 역
216,34,299,고해준 역
217,34,300,고해준 역
218,34,301,백은영 역
219,34,297,백은영 역
220,34,296,박주완 역
221,34,298,김마리 역
222,34,302,강하라 역
223,35,305,그 남자 역
224,35,309,그 남자 역
225,35,312,그 남자 역
226,35,313,그 여자 역
227,35,311,그 여자 역
228,35,314,그 여자 역
229,35,310,그 여자 역
230,35,304,멀티맨 역
231,35,303,멀티맨 역
232,35,307,멀티맨 역
233,35,306,멀티맨 역
234,36,317,덕지 역
235,36,323,덕지 역
236,36,316,선녀님 역
237,36,315,엄마 역
238,36,322,엄마 역
239,36,325,앙상블1 역
240,36,318,앙상블1 역
241,36,321,앙상블2 역
242,36,320,앙상블2 역
243,36,319,앙상블3 역
244,36,324,앙상블3 역
245,37,333,도나 역
246,37,327,도나 역
247,37,326,소피 역
248,37,209,소피 역
249,37,332,로지 역
250,37,328,샘 역
251,37,329,샘 역
252,37,330,해리 역
253,37,125,해리 역
254,40,337,마하 역
255,40,338,마하 역
256,43,242,이선영&정지혜 역
257,44,340,스칼렛 역
258,44,339,스칼렛 역
259,45,346,조안전 역
260,45,345,수아 역
261,45,342,춘자 역
262,45,374,예린 역
263,45,343,예린 역
264,45,344,담임 및 박사 역
265,48,309,존 역
266,48,303,잭 역
267,48,313,캐서린 역
268,50,369,진방글 역
269,50,343,진방글 역
270,51,351,스크루테이프 역
271,51,349,스크루테이프 역
272,51,347,웜우드 역
273,51,350,웜우드 역
274,51,353,블랙엔젤 역
275,51,352,블랙엔젤 역
276,51,348,블랙엔젤 역
277,53,355,추태양 역
278,53,354,추태양 역
279,53,363,추태양 역
280,53,361,추태양 역
281,53,356,이루아 역
282,53,366,이루아 역
283,53,362,이루아 역
284,53,369,조미미 역
285,53,357,조미미 역
286,53,359,조미미 역
287,53,360,안유연 역
288,53,365,안유연 역
289,53,358,럭키 역
290,53,367,럭키 역
291,53,368,럭키 역
292,53,364,럭키 역
293,54,375,필그림 역
294,54,374,소망 역
295,54,376,소망 역
296,54,373,아볼루온 역
297,54,371,아볼루온 역
298,54,372,여인/크리스티나 역
299,57,380,이건 역
300,57,378,이건 역
301,57,382,송하늘 역
302,57,377,송하늘 역
303,57,379,순덕 외 역
304,57,383,구실장 외 역
305,57,381,구실장 외 역
306,59,387,김이암 역
307,59,384,유지해 역
308,59,385,우연희 역
309,59,386,썸데이 역
310,66,390,터프가이 역
311,66,389,스파이시 역
