cast_id,musical_id,actor_id,role_name
1,1,9,"김해진 역"
2,1,7,"김해진 역"
3,1,12,"김해진 역"
4,1,3,"정세훈 역"
5,1,11,"정세훈 역"
6,1,21,"정세훈 역"
7,1,2,"정세훈 역"
8,1,17,"히카루 역"
9,1,10,"히카루 역"
10,1,18,"이윤 역"
11,1,13,"이윤 역"
12,1,5,"이윤 역"
13,1,20,"이윤 역"
14,1,1,"이태준 역"
15,1,307,"이태준 역"
16,1,14,"김수남 역"
17,1,22,"김수남 역"
18,1,16,"김수남 역"
19,1,19,"김수남 역"
20,2,262,"파이 역"
21,2,39,"파이 역"
22,2,32,"파이 역"
23,2,29,"아버지 역"
24,2,33,"아버지 역"
25,2,26,"엄마/간호사/오렌지주스 역"
26,2,24,"엄마/간호사/오렌지주스 역"
27,2,27,"오카모토/선장 역"
28,2,31,"오카모토/선장 역"
29,2,25,"루루 첸 역"
30,2,30,"루루 첸 역"
31,2,37,"요리사/리차드 파커 목소리 역"
32,2,23,"요리사/리차드 파커 목소리 역"
33,4,56,"크리스티안 역"
34,4,43,"크리스티안 역"
35,4,41,"크리스티안 역"
36,4,49,"사틴 역"
37,4,44,"사틴 역"
38,4,55,"지들러 역"
39,4,57,"몬로스 공작 역"
40,4,51,"몬로스 공작 역"
41,4,52,"로트렉 역"
42,4,53,"로트렉 역"
43,4,58,"산티아고 역"
44,4,46,"산티아고 역"
45,7,83,"라이토 역"
46,7,84,"라이토 역"
47,7,82,"라이토 역"
48,7,74,"라이토 역"
49,7,77,"엘(L) 역"
50,7,79,"엘(L) 역"
