play_no,title,start_date,end_date,theater,actors
223304,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,예술의전당 CJ 토월극장,"강혜인,김경수,김리현,김승용,김이후,김종구,김지욱,김지철,김태인,김히어라,문성일,박정표,소정화,손유동,에녹,원태민,윤소호,윤은채,이규형,이승현,이한밀,이형훈,장민수,정민"
215706,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,잠실종합운동장 내 빅탑,윤은채
222249,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,GS아트센터,"권상석,김지혜,김형준,박강현,박정민,박찬양,서현철,송인성,신진경,윤은채,이상아,이승헌,임민영,전걸,정호준,주아,진상현,한규정,황만익"
221943,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,블루스퀘어 신한카드홀,"권오경,김단주,김송이,김지우,박민성,서만석,심건우,유승엽,윤은채,이상준,이석훈,이정열,이정하,이창용,전성혜,정선아,지현준,차윤해,최호중,하유진,홍광호"
218253,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,매키탄 호텔 (The Mckithan Hotel),윤은채
221340,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,디큐브 링크아트센터,"규현,김민석,김성규,김성철,산들,양승리,윤은채,이영미,임규형,임정모,장은아,조형균,최서연,케이,탕준상"
222401,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,충무아트센터 대극장,"고은성,김대호,김연준,김주호,민영기,박은태,박형규,손의완,신성록,윤선용,윤은채,이규형,이지수,전동석,최민철,최지혜,카이"
222168,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,광림아트센터 BBCH홀,"김민철,김바울,김성식,김소향,김소현,마이클 리,민우혁,백인태,손준호,유리아,윤은채,윤형렬,한지상"
221845,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,,윤은채
223431,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,한전아트센터,"김법래,김봉환,김형묵,남우현,솔라,송원근,양서윤,엄기준,유연정,윤은채,이홍기,정택운,조남희"
223647,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,홍익대 대학로 아트센터 대극장,"권성찬,김찬호,배나라,배수정,옥주현,윤은채,윤지인,윤현민,이봄소리,이은호,이제우,조성윤,조형균,홍금비"
222417,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,플러스씨어터,"기세중,김도하,김세진,남민우,류제윤,박새힘,박슬기,박시인,서동진,선한국,신주협,신창주,안상은,윤은채,이건희,이경욱,장민수,조풍래,최민우"
221657,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,NOL 유니플렉스 2관,윤은채
224441,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,Converse Stage Arena “여명”,윤은채
223248,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,NOL 서경스퀘어 스콘 1관,"김기영,도해,원근영,윤은채,이재웅,이지우,이지혁,정동화,정우연,최수진,최연우,최호승,황민수"
221711,공연의 모든 것 - 플레이DB,,,,윤은채
222143,공연의 모든 것 - 플레이DB,4325-12-02,4326-03-02,,윤은채
223187,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,대학로 자유극장,"김규리,김민강,김유진,김정은,박초록,송나영,송영미,신이나,윤은채,이예슬,이하린,임찬민,정단비,정문길,정세윤,정아인,조혜령,차준호,최태이,최현미,하미미"
223074,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,대학로 TOM(티오엠) 1관,"김단이,김대종,김수호,김이진,김종구,박영수,연지현,윤은채,최재웅,한상훈"
