actor_id,name,birth,agency,sns,image,work1,work2,work3,work4,work5
1,김승용,NULL,NULL,NULL,actor_images/21118.gif,"〈레드북〉 - 부산 2026.01.30 ~ 2026.02.01 드림씨어터 헨리&잭 역","〈레드북〉 - 세종시 2026.01.23 ~ 2026.01.25 세종예술의전당 헨리&잭 역","〈레드북〉 - 용인 2026.01.09 ~ 2026.01.11 용인포은아트홀 헨리&잭 역","〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 예술의전당 CJ 토월극장 이태준 역","〈레드북〉 2025.09.23 ~ 2025.12.07 유니버설아트센터 헨리 & 잭 역"
2,원태민,1993.09.16,NULL,https://www.instagram.com/one__tm_/,actor_images/54013.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 예술의전당 CJ 토월극장 정세훈 역","〈라흐마니노프〉 2025.09.20 ~ 2025.12.14 예스24스테이지 1관 라흐마니노프 역","〈두 낫 디스터브〉 2025.06.10 ~ 2025.08.31 NOL 서경스퀘어 스콘 1관 카이만 역","화이트래빗 레드래빗 2025.04.30 ~ 2025.05.25 세종문화회관 S씨어터","애나엑스 Special Day 2025.02.18 ~ 2025.02.20 LG아트센터 서울"
3,문성일,1988.08.14,NULL,http://www.instagram.com/m_seong_il,actor_images/25614.gif,"〈판〉 2025.12.23 ~ 2026.03.08 동덕여대 공연예술센터 코튼홀 달수 역","〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 예술의전당 CJ 토월극장 정세훈 역","여신님이 보고 계셔 2024.11.26 ~ 2025.03.03 NOL 유니플렉스 1관 변주화 역","오즈 2024.02.27 ~ 2024.04.28 대학로 TOM 2관 준 역","이카이노 바이크 2024.02.15 ~ 2024.03.10 씨어터 쿰 경우 역"
4,신윤재,1995.07.19,NULL,NULL,actor_images/51504.gif,"다큐시어터 〈집으로 돌아가는 길〉 2025.07.31 ~ 2025.08.08 연우 소극장","플레이위드 햄릿 2025.01.23 ~ 2025.03.16 산울림 소극장 햄릿 역","버려진 상자엔 무엇이 담겨있었나 2023.11.15 ~ 2023.11.19","플레이위드 햄릿 2023.06.23 ~ 2023.07.09 산울림 소극장","마하 2023.04.07 ~ 2023.04.09 열린극장"
5,이형훈,NULL,NULL,NULL,actor_images/15321.gif,"〈긴긴밤〉 2026.01.21 ~ 2026.03.29 링크아트센터드림 노든 역","〈시지프스〉 2025.12.16 ~ 2026.03.08 예스24스테이지 2관 언노운 역","〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 예술의전당 CJ 토월극장 이윤 역","〈아몬드〉 2025.11.15 ~ 2025.11.16 심박사 역","〈아몬드〉 2025.09.19 ~ 2025.12.14 심박사 역"
6,김지욱,1989.01.27,NULL,http://www.instagram.com/rlawldnrl,actor_images/36037.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 이태준 역","〈아마데우스〉 2025.09.16 ~ 2025.11.23 요제프 황제 역","〈마리 퀴리〉 2025.07.25 ~ 2025.10.19 마르친/샤갈 역","레베카 2021.11.16 ~ 2022.02.28 벤 역",NULL
7,김종구,1980.11.29,NULL,NULL,actor_images/17507.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 김해진 역","〈로빈〉 2025.12.01 ~ 2026.03.01 로빈 역","니진스키 2025.03.25 ~ 2025.06.15 디아길레프 역","라흐 헤스트 2025.03.25 ~ 2025.06.15 환기 역","라파치니의 정원 2025.02.26 ~ 2025.02.28 라파치니 역"
8,윤은채,1986.12.14,NULL,NULL,actor_images/39735.gif,"은밀하게 위대하게 2017.07.14 ~ 2017.10.05 원류환 역","챠이카 2016.01.08 ~ 2016.06.26 메드베젠꼬 역","레베카 2016.01.05 ~ 2016.03.06 앙상블","맨 오브 라만차 2015.07.30 ~ 2015.11.01 후안 역","드림걸즈 2015.02.26 ~ 2015.05.25 앙상블"
9,에녹,1980.02.10,EMK엔터테인먼트,NULL,actor_images/6961.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 김해진 역","마타하리 2024.12.05 ~ 2025.03.02 아르망 역","손태진 & 에녹 콘서트 2024.07.13","레베카 2023.08.19 ~ 2023.11.19 막심 드 윈터 역","이프덴 2022.12.08 ~ 2023.02.26 루카스 역"
10,강혜인,NULL,NULL,NULL,actor_images/43688.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 히카루 역","〈마리 퀴리〉 2025.07.25 ~ 2025.10.19 안느 코발스카 역","너의 결혼식 2025.03.20 ~ 2025.06.08 환승희 역","천 개의 파랑 2025.02.22 ~ 2025.03.07 은혜 역","유진과 유진 2024.07.06 ~ 2024.09.22 작은유진 역"
11,윤소호,1991.11.20,NULL,http://cafe.naver.com/19911120,actor_images/27064.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 정세훈 역","〈아몬드〉 2025.11.15 ~ 2025.11.16 윤재 역","〈아몬드〉 2025.09.19 ~ 2025.12.14 윤재 역","오늘 밤, 세계에서 이 사랑이 사라진다 해도 2025.06.13 ~ 2025.08.24 가미야 도루 역","도리안 그레이 2025.03.30 ~ 2025.06.08 도리안 그레이 역"
12,김경수,1982.09.06,NULL,https://www.instagram.com/k.kyoungsu,actor_images/6299.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 김해진 역","도리안 그레이 2025.03.30 ~ 2025.06.08 헨리 워튼 역","스타크로스드 2024.12.10 ~ 2025.03.02 머큐쇼 역","랭보 2024.09.17 ~ 2024.12.08 베를렌느 역","빈센트 반 고흐 2024.09.07 ~ 2024.12.01"
13,정민,NULL,NULL,NULL,actor_images/6959.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 이윤 역","〈라흐마니노프〉 2025.09.20 ~ 2025.12.14 니콜라이 달 역","〈붉은 정원〉 2025.06.17 ~ 2025.06.19 빅토르 역","붉은 정원 2025.04.22 ~ 2025.07.20 빅토르 역","배니싱 2025.02.04 ~ 2025.05.25"
14,이승현,1977.10.11,NULL,http://www.instagram.com/lownotegogo,actor_images/3714.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 김수남 역","배우 이승현 콘서트 2024.11.11","미오 프라텔로 2024.05.21 ~ 2024.10.27 치치 역","6시 퇴근 2024.05.17 ~ 2024.08.11 장보고 역","비더슈탄트 2023.09.12 ~ 2023.11.26"
15,윤석화,1956.01.16,NULL,NULL,actor_images/5843.gif,"햄릿 2022.07.13 ~ 2022.08.13","자화상 2021.10.20 ~ 2021.11.21","해롤드와 모드 2021.05.01 ~ 2021.05.23 연출","딸에게 보내는 편지 2019.06.11 ~ 2019.06.22","윤석화의 사랑은 계속됩니다 2017.06.13 ~ 2017.06.18"
16,장민수,1988.11.04,NULL,NULL,actor_images/37147.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 김수남 역","〈난쟁이들〉 2025.11.05 ~ 2026.03.01 빅 역","〈쇼맨〉 2025.07.11 ~ 2025.08.31 첫번째 배우 역","〈다시, 동물원〉 2025.06.26 ~ 2025.09.14 유준열 역","미아 파밀리아 2024.12.19 ~ 2025.03.23"
17,소정화,NULL,NULL,NULL,actor_images/12219.gif,"〈팬레터〉 10주년 2025.12.05 ~ 2026.02.22 히카루 역","문스토리 2023.09.26 ~ 2023.12.10 린 역","쁠라테로 2023.05.18 ~ 2023.06.02","팬레터 2022.07.04 히카루 역","난세 2022.05.31 ~ 2022.08.21"
